HCR 0000000080000000 
4096_L1_kind11_access2.value1 0020000040000401 
4096_L1_kind11_access2.table2 000000004009c000 
4096_L1_kind11_access2.value2 00000000400a0003 
4096_L1_kind11_access2.table3 00000000400a0000 
4096_L1_kind11_access2.value3 0000000000000000 
4096_L1_kind11_access2 000000008600000d ffff000000000230 ffff000000000230 0000000000000001 ffff000000000230 ffff000000000230 
4096_L2_kind3_access0.ttbr0 00000000400a4000 
4096_L2_kind3_access0.ttbr1 0000000040094000 
4096_L2_kind3_access0.tcr 0000000080100010 
4096_L2_kind3_access0.va ffff000000000230 
4096_L2_kind3_access0.access 0000000000000000 
4096_L2_kind3_access0.table0 0000000040094000 
4096_L2_kind3_access0.value0 0000000040098003 
4096_L2_kind3_access0.table1 0000000040098000 
4096_L2_kind3_access0.value1 000000004009c003 
4096_L2_kind3_access0.table2 000000004009c000 
4096_L2_kind3_access0.value2 0000000040000001 
4096_L2_kind3_access0.table3 00000000400a0000 
4096_L2_kind3_access0.value3 0000000000000000 
4096_L2_kind3_access0 000000009600000a ffff000000000230 0000000040080088 0000000000000001 ffff000000000230 0000000040080088 
4096_L2_kind4_access1.ttbr0 00000000400a4000 
4096_L2_kind4_access1.ttbr1 0000000040094000 
4096_L2_kind4_access1.tcr 0000000080100010 
4096_L2_kind4_access1.va ffff000000000230 
4096_L2_kind4_access1.access 0000000000000001 
4096_L2_kind4_access1.table0 0000000040094000 
4096_L2_kind4_access1.value0 0000000040098003 
4096_L2_kind4_access1.table1 0000000040098000 
4096_L2_kind4_access1.value1 000000004009c003 
4096_L2_kind4_access1.table2 000000004009c000 
4096_L2_kind4_access1.value2 0000000040000481 
4096_L2_kind4_access1.table3 00000000400a0000 
4096_L2_kind4_access1.value3 0000000000000000 
4096_L2_kind4_access1 000000009600004e ffff000000000230 0000000040080090 0000000000000001 ffff000000000230 0000000040080090 
4096_L2_kind5_access0.ttbr0 00000000400a4000 
4096_L2_kind5_access0.ttbr1 0000000040094000 
4096_L2_kind5_access0.tcr 0000000080100010 
4096_L2_kind5_access0.va ffff000000000230 
4096_L2_kind5_access0.access 0000000000000000 
4096_L2_kind5_access0.table0 0000000040094000 
4096_L2_kind5_access0.value0 0000000040098003 
4096_L2_kind5_access0.table1 0000000040098000 
4096_L2_kind5_access0.value1 000000004009c003 
